SNo,Title,Artist,Genre
1,Blinding Lights,The Weeknd,R&B
2,Say You Wont Let Go,James Arthur,Pop
3,River,Eminem and Ed Sheeran,Rap
4,Polygon Dust,Porter Robinson,EDM
5,Lego House,Ed Sheeran,Pop
6,Cant Feel My Face,The Weeknd,R&B
7,Bad Habits,Ed Sheeran,Pop
8,Save Your Tears,The Weeknd,Pop
9,Goodbye To A World,Porter Robinson,EDM
10,House Of Balloons,The Weeknd,R&B
11,Edge of The Earth,30 Seconds To Mars,Rock
12,Take Yourself Home,Troye Sivan,Pop
13,Toxic,Britney Spears,EDM
14,Here With Me,Marshmello & CHVRCHES,EDM
15,Why,Dominic Fike,Alternative
16,drivers license,Olivia Rodrigo,Pop
17,Call Out My Name,The Weeknd,R&B
18,Privilege,The Weeknd,R&B
19,The Prince,Madeon,EDM
20,Canada,Lauv,Pop
21,Mean It,Lauv,Pop
22,Tattoos Together,Lauv,Pop
23,Watermelon Sugar,Harry Styles,Pop
24,Adore You,Harry Styles,Pop
25,Lights Up,Harry Styles,Pop
26,Thinking Out Loud,Ed Sheeran,Pop
27,Believer,Imagine Dragons,Rock
28,Raise Hell,Dorothy,Rock
29,Wicked Ones,Dorothy,Rock
30,Down To The Bottom,Dorothy,Rock
31,Gun In My Hand,Dorothy,Rock
32,Missile,Dorothy,Rock
33,Kiss It,Dorothy,Rock
